county,ward,total,Screnock,Dallet,SCATTERING
,City of ANTIGO Ward 9,102,51,51,0
,County Totals:,"2,524","1,413","1,111",0
LINCOLN ,Town of BIRCH Ward 1,84,46,38,0
,Town of BRADLEY Wards 1-5,356,175,180,1
,Town of CORNING Wards 1-2,216,137,79,0
,Town of HARDING Ward 1,105,61,44,0
,Town of HARRISON Wards 1-3,161,88,73,0
,Town of KING Wards 1-2,183,71,112,0
,Town of MERRILL Wards 1-7,692,348,343,1
,Town of PINE RIVER Wards 1-3,482,262,218,2
,Town of ROCK FALLS Wards 1-2,147,82,65,0
,Town of RUSSELL Ward 1,156,75,81,0
,Town of SCHLEY Wards 1-2,209,115,94,0
,Town of SCOTT Wards 1-2,330,174,156,0
,Town of SKANAWAN Ward 1,78,34,44,0
,Town of SOMO Ward 1,23,14,9,0
,Town of TOMAHAWK Ward 1,69,32,37,0
,Town of WILSON Ward 1,60,38,22,0
,City of MERRILL Wards 1-2,308,136,172,0
,City of MERRILL Wards 3-4,260,117,143,0
,City of MERRILL Wards 5-7,172,78,94,0
,City of MERRILL Wards 8-9,245,110,134,1
,City of MERRILL Wards 10-12,252,115,137,0
,City of MERRILL Wards 13-14,223,93,129,1
,City of MERRILL Wards 15-17,285,104,180,1
,City of MERRILL Wards 18-19,176,84,92,0
,City of TOMAHAWK Wards 1-2,116,44,72,0
,City of TOMAHAWK Wards 3-4,149,73,76,0
,City of TOMAHAWK Wards 5-6,144,71,73,0
,County Totals:,"5,681","2,777","2,897",7
MANITOWOC ,Town of CATO Ward 1-2,367,204,163,0
,Town of CENTERVILLE Ward 1,145,85,60,0
,Town of COOPERSTOWN Ward 1-2,247,147,100,0
,Town of EATON Ward 1,234,139,95,0
,Town of FRANKLIN Ward 1-3,221,135,86,0
,Town of GIBSON Ward 1-2,253,141,112,0
,Town of KOSSUTH Ward 1-3,467,225,242,0
,Town of LIBERTY Wards 1-2,367,226,141,0
,Town of MANITOWOC Ward 1-2,269,139,130,0
,Town of MANITOWOC RAPIDS Ward 1-5,710,391,318,1
,Town of MAPLE GROVE Ward 1,116,73,43,0
,Town of MEEME Wards 1-4,467,286,180,1
,Town of MISHICOT Ward 1-2,203,113,90,0
,Town of NEWTON Ward 1-3,586,367,219,0
,Town of ROCKLAND Ward 1-2,169,110,59,0
,Town of SCHLESWIG Ward 1-2,659,359,298,2
,Town of TWO CREEKS Ward 1,93,51,42,0
,Town of TWO RIVERS Ward 1-2,360,178,182,0
,Village of CLEVELAND Wards 1-2,269,133,136,0
,Village of FRANCIS CREEK Ward 1,123,56,67,0
,Village of KELLNERSVILLE Ward 1,52,19,33,0
,Village of MARIBEL Ward 1,49,21,28,0
,Village of MISHICOT Ward 1-4,234,116,118,0
,Village of REEDSVILLE Wards 1-3,235,98,137,0
,Village of ST. NAZIANZ Ward 1,128,61,66,1
,Village of VALDERS Ward 1,232,120,112,0
,Village of WHITELAW Ward 1,168,84,84,0
,"City of KIEL Wards 1-6,8-9","1,056",540,516,0
,City of MANITOWOC Wards 1-2,580,252,328,0
,City of MANITOWOC Wards 3-4,589,276,312,1
,City of MANITOWOC Wards 5-6,630,225,404,1
,City of MANITOWOC Wards 7-8,259,110,148,1
,City of MANITOWOC Wards 9-10,601,258,342,1
,City of MANITOWOC Wards 11-12,851,382,469,0
,City of MANITOWOC Wards 13-14,501,223,275,3
,City of MANITOWOC Wards 15-16,989,447,542,0
,City of MANITOWOC Wards 17-18,537,253,283,1
,City of MANITOWOC Wards 19-20,"1,073",521,552,0
,"City of MANITOWOC Wards 21,24,28",1,0,1,0
,City of MANITOWOC Ward 22,0,0,0,0
,"City of MANITOWOC Wards 23,25-26",0,0,0,0
,City of MANITOWOC Ward 27,0,0,0,0
,City of MANITOWOC Ward 29,0,0,0,0
,City of TWO RIVERS Wards 1-2,392,165,227,0
,City of TWO RIVERS Wards 3-4,584,282,301,1
,City of TWO RIVERS Wards 5-6,371,164,207,0
,City of TWO RIVERS Wards 7-8,288,117,170,1
,County Totals:,"16,725","8,292","8,418",15
MARATHON ,Town of BERGEN Ward 1,127,56,71,0
,Town of BERLIN Ward 1-2,158,113,45,0
,Town of BERN Ward 1,70,43,26,1
,Town of BEVENT Ward 1-2,189,75,113,1
,Town of BRIGHTON Ward 1,45,30,15,0
,Town of CASSEL Ward 1,135,90,45,0
,Town of CLEVELAND Ward 1-2,199,128,71,0
,Town of DAY Ward 1-2,157,87,70,0
,Town of EASTON Ward 1-2,293,172,121,0
,Town of EAU PLEINE Ward 1,85,58,27,0
,Town of ELDERON Ward 1,74,47,27,0
,Town of EMMET Ward 1-2,144,82,62,0
,Town of FRANKFORT Ward 1,63,39,23,1
,Town of FRANZEN Ward 1,85,54,31,0
,Town of GREEN VALLEY Ward 1,91,50,41,0
,Town of GUENTHER Ward 1,66,52,14,0
,Town of HALSEY Ward 1,87,54,33,0
,Town of HAMBURG Ward 1,182,121,61,0
,Town of HARRISON Ward 1,33,21,12,0
,Town of HEWITT Ward 1,90,63,27,0
,Town of HOLTON Ward 1,96,63,33,0
,Town of HULL Ward 1,87,56,31,0
,Town of JOHNSON Ward 1,98,54,44,0
,Town of KNOWLTON Ward 1-3,368,214,154,0
,Town of MARATHON Ward 1-2,202,131,71,0
,Town of MCMILLAN Wards 1-3,521,272,248,1
,Town of MOSINEE Wards 1-3,371,212,159,0
,Town of NORRIE Ward 1,151,91,60,0
,Town of PLOVER Ward 1,100,57,43,0
,Town of REID Ward 1-2,185,113,72,0
,Town of RIB FALLS Ward 1,168,122,46,0
,Town of RIB MOUNTAIN Ward 1-10,"1,345",739,606,0
,Town of RIETBROCK Ward 1,153,92,61,0
,Town of RINGLE Ward 1-2,414,215,199,0
,Town of SPENCER Ward 1-2,189,104,85,0
,Town of STETTIN Ward 1-2,337,197,140,0
,Town of STETTIN Ward 3-4,96,57,39,0
,Town of TEXAS Wards 1-2,276,143,132,1
,Town of WAUSAU Ward 1-3,452,254,197,1
,Town of WESTON Ward 1,170,102,68,0
,Town of WIEN Ward 1,108,63,45,0
,Village of ATHENS Ward 1-2,204,100,104,0
,VILLAGE OF BIRNAMWOOD Ward 2,8,4,4,0
,Village of BROKAW Ward 1,51,19,32,0
,VILLAGE OF DORCHESTER Wards 2-3,0,0,0,0
,Village of EDGAR Wards 1-2,241,121,120,0
,Village of ELDERON Ward 1,27,16,11,0
,Village of FENWOOD Ward 1,30,17,13,0
,Village of HATLEY Ward 1,125,60,65,0
,Village of KRONENWETTER Wards 1-5,651,292,358,1
,Village of KRONENWETTER Wards 6-10,631,324,305,2
,Village of Maine Wards 1-4,435,213,222,0
,Village of MARATHON CITY Wards 1-4,291,159,132,0
,Village of ROTHSCHILD Ward 1-2,327,131,196,0
,Village of ROTHSCHILD Ward 3-4,451,225,225,1
,Village of ROTHSCHILD Ward 5-6,446,196,250,0
,Village of SPENCER Wards 1-3,217,96,121,0
,Village of STRATFORD Wards 1-2,223,113,110,0
,Village of UNITY Ward 1,18,9,9,0
,"Village of WESTON Wards 1-2,4-5",682,348,333,1
,"Village of WESTON Wards 3,8",516,246,270,0
,Village of WESTON Wards 6-7,585,290,292,3
,Village of WESTON Wards 9-13,993,449,543,1
,"CITY OF ABBOTSFORD Wards 1,6",30,17,13,0
,CITY OF COLBY Ward 1,38,21,17,0
,"CITY OF MARSHFIELD Wards 12,20-21,24",132,57,75,0
,"City of MOSINEE Wards 1-2,6-7",288,156,132,0
,City of MOSINEE Wards 3-5,300,144,155,1
,City of SCHOFIELD Wards 1-4,376,181,194,1
,City of WAUSAU Ward 1,400,126,274,0
,City of WAUSAU Ward 2,403,128,275,0
,City of WAUSAU Ward 3,89,32,56,1
,City of WAUSAU Ward 4,61,25,36,0
,City of WAUSAU Ward 5,178,72,106,0
,City of WAUSAU Ward 6,119,43,76,0
,City of WAUSAU Ward 7,191,69,121,1
,City of WAUSAU Ward 8,84,35,49,0
,City of WAUSAU Ward 9,106,39,67,0
,City of WAUSAU Ward 10,71,32,39,0
,City of WAUSAU Ward 11,0,0,0,0
,City of WAUSAU Ward 12,305,86,219,0
,City of WAUSAU Ward 13,190,62,128,0
,City of WAUSAU Ward 14,199,84,114,1
,City of WAUSAU Ward 15,483,206,277,0
,City of WAUSAU Ward 16,330,156,174,0
,City of WAUSAU Ward 17,227,93,133,1
,City of WAUSAU Ward 18,218,85,133,0
,City of WAUSAU Ward 19,184,72,112,0
,City of WAUSAU Ward 20,153,55,98,0
,City of WAUSAU Ward 21,145,52,93,0
,City of WAUSAU Ward 22,169,69,100,0
,City of WAUSAU Ward 23,186,58,128,0
,City of WAUSAU Ward 24,330,157,173,0
,City of WAUSAU Ward 25,299,133,166,0
,City of WAUSAU Ward 26,206,83,123,0
,City of WAUSAU Ward 27,0,0,0,0
,City of WAUSAU Ward 28,0,0,0,0
,City of WAUSAU Ward 29,0,0,0,0
,City of WAUSAU Ward 30,2,2,0,0
,City of WAUSAU Ward 31,0,0,0,0
,City of WAUSAU Ward 32,0,0,0,0
,City of WAUSAU Ward 33,1,1,0,0
,City of WAUSAU Ward 34,0,0,0,0
,City of WAUSAU Ward 35,0,0,0,0
,City of WAUSAU Ward 36,0,0,0,0
,City of WAUSAU Ward 37,0,0,0,0
,City of WAUSAU Ward 48,0,0,0,0
,City of WAUSAU Ward 49,0,0,0,0
,County Totals:,"21,905","10,845","11,039",21
MARINETTE ,Town of AMBERG Ward 1,117,73,44,0
,Town of ATHELSTANE Wards 1-2,76,49,27,0
,Town of BEAVER Wards 1-2,270,145,125,0
,Town of BEECHER Ward 1,100,62,38,0
,Town of DUNBAR Wards 1-2,104,69,35,0
,Town of GOODMAN Ward 1,103,49,54,0
,Town of GROVER Wards 1-3,502,301,201,0
,Town of LAKE Wards 1-2,126,63,63,0
,Town of MIDDLE INLET Ward 1-2,119,67,52,0
,Town of NIAGARA Ward 1,139,79,60,0
,Town of PEMBINE Wards 1-2,78,56,22,0
,"Town of PESHTIGO Wards 1,4",385,188,197,0
,Town of PESHTIGO Wards 2-3,218,98,120,0
,Town of PESHTIGO Wards 5-6,268,138,130,0
,Town of PORTERFIELD Ward 1-3,238,135,103,0
,Town of POUND Wards 1-3,359,222,137,0
,Town of SILVER CLIFF Ward 1,109,74,35,0
,Town of STEPHENSON Ward 1-3,246,134,112,0
,Town of STEPHENSON Ward 4-5,168,92,76,0
,Town of WAGNER Ward 1,87,46,41,0
,Town of WAUSAUKEE Wards 1-2,174,101,73,0
,Village of COLEMAN Ward 1,203,113,90,0
,Village of CRIVITZ Ward 1,133,72,61,0
,Village of POUND Ward 1,64,44,20,0
,Village of WAUSAUKEE Ward 1,79,41,38,0
,City of MARINETTE Wards 1-8,951,413,538,0
,City of NIAGARA Ward 1-3,154,72,82,0
,City of PESHTIGO Wards 1-2,285,151,134,0
,City of PESHTIGO Wards 3-5,257,133,124,0
,City of PESHTIGO Wards 6-7,229,122,107,0
,County Totals:,"6,341","3,402","2,939",0
MARQUETTE ,Town of BUFFALO Ward 1-2,279,152,126,1
,Town of CRYSTAL LAKE Ward 1,110,58,52,0
,Town of DOUGLAS Ward 1,190,110,80,0
,Town of HARRIS Ward 1,190,113,77,0
,Town of MECAN Ward 1,148,94,54,0
,Town of MONTELLO Ward 1-4,312,177,135,0
,Town of MOUNDVILLE Ward 1-2,98,51,47,0
,Town of NESHKORO Ward 1-2,87,59,28,0
,Town of NEWTON Ward 1-2,73,49,24,0
,Town of OXFORD Ward 1-2,162,85,77,0
,Town of PACKWAUKEE Ward 1-3,316,179,137,0
,Town of SHIELDS Ward 1,151,104,47,0
,Town of SPRINGFIELD Ward 1,163,90,73,0
,Town of WESTFIELD Ward 1-2,142,83,59,0
,Village of ENDEAVOR Ward 1,62,35,27,0
,Village of NESHKORO Ward 1,73,43,30,0
,Village of OXFORD Ward 1,84,43,41,0
,Village of WESTFIELD Ward 1-2,151,77,74,0
,City of MONTELLO Ward 1-4,304,146,158,0
,County Totals:,"3,095","1,748","1,346",1
MENOMINEE ,"Town of MENOMINEE Wards 1,3-5",137,53,84,0
,"Town of MENOMINEE Wards 1,3-5",0,0,0,0
,Town of MENOMINEE Ward 2,11,2,9,0
,Town of MENOMINEE Ward 2,0,0,0,0
,County Totals:,148,55,93,0
MILWAUKEE ,"Village of BAYSIDE Wards 1-1S,3-3S",457,125,332,0
,"Village of BAYSIDE Wards 2,4",673,178,495,0
,Village of BAYSIDE Ward 5,346,102,244,0
,Village of BROWN DEER Wards 1-2,948,296,652,0
,Village of BROWN DEER Wards 3-4,"1,015",381,630,4
,Village of BROWN DEER Wards 5-6,912,311,601,0
,Village of FOX POINT Ward 1-4,"1,004",312,692,0
,Village of FOX POINT Ward 5-9,"1,185",349,835,1
,Village of GREENDALE Ward 1-2,781,430,351,0
,Village of GREENDALE Ward 3-4,849,392,456,1
,Village of GREENDALE Ward 5-6,770,382,388,0
,Village of GREENDALE Ward 7-8,726,348,378,0
,Village of GREENDALE Ward 9-10,827,393,431,3
,Village of HALES CORNERS Wards 1-3,741,415,325,1
,Village of HALES CORNERS Wards 4-6,627,329,298,0
,Village of HALES CORNERS Wards 7-9,577,289,287,1
,Village of RIVER HILLS Ward 1,91,28,63,0
,Village of RIVER HILLS Ward 2,265,145,120,0
,Village of RIVER HILLS Ward 3,218,93,124,1
,Village of SHOREWOOD Ward 1-4,"1,634",251,"1,381",2
,Village of SHOREWOOD Ward 5-8,"1,454",203,"1,250",1
,Village of SHOREWOOD Ward 9-12,"1,467",208,"1,257",2
,"Village of WEST MILWAUKEE Ward 1-2,5",138,54,84,0
,"Village of WEST MILWAUKEE Ward 3-4,6",188,80,108,0
,Village of WHITEFISH BAY Wards 1-2,658,260,398,0
,Village of WHITEFISH BAY Wards 3-4,617,196,420,1
,Village of WHITEFISH BAY Wards 5-6,732,274,458,0
,Village of WHITEFISH BAY Ward 7,380,119,261,0
,"Village of WHITEFISH BAY Wards 8,10",863,262,601,0
,"Village of WHITEFISH BAY Wards 9,11",621,166,455,0
,Village of WHITEFISH BAY Ward 12,448,134,314,0
,City of CUDAHY Wards 1-3,710,279,431,0
,City of CUDAHY Wards 4-6,515,200,314,1
,City of CUDAHY Wards 7-9,372,156,216,0
,City of CUDAHY Wards 10-12,585,275,309,1
,City of CUDAHY Wards 13-15,713,317,396,0
,City of FRANKLIN Ward 1,0,0,0,0
,City of FRANKLIN Ward 2,480,273,206,1
,City of FRANKLIN Ward 3,534,291,243,0
,City of FRANKLIN Ward 4,262,161,99,2
,City of FRANKLIN Ward 5,254,148,106,0
,City of FRANKLIN Ward 6,345,211,134,0
,City of FRANKLIN Ward 7,524,297,224,3
,City of FRANKLIN Ward 8,196,91,105,0
,City of FRANKLIN Ward 9,254,127,127,0
,City of FRANKLIN Ward 10,131,76,55,0
,City of FRANKLIN Ward 11,347,193,154,0
,City of FRANKLIN Ward 12,280,172,107,1
,City of FRANKLIN Ward 13,385,240,145,0
,City of FRANKLIN Ward 14,333,187,145,1
,City of FRANKLIN Ward 15A,182,103,77,2
,City of FRANKLIN Ward 15B,142,72,70,0
,City of FRANKLIN Ward 16,367,242,125,0
,City of FRANKLIN Ward 17,226,114,112,0
,City of FRANKLIN Ward 18,116,83,33,0
,City of FRANKLIN Ward 19,379,237,142,0
,City of FRANKLIN Ward 20,180,70,110,0
,City of FRANKLIN Ward 21,51,20,31,0
,City of FRANKLIN Ward 22A,282,149,133,0
,City of FRANKLIN Ward 22B,308,157,151,0
,City of FRANKLIN Ward 23,424,257,167,0
,"City of GLENDALE Ward 1,7",560,148,412,0
,"City of GLENDALE Wards 2,8,8S",649,180,469,0
,"City of GLENDALE Ward 3,9",624,217,406,1
,"City of GLENDALE Ward 4,10",781,217,564,0
,"City of GLENDALE Wards 5,11,11S",715,209,506,0
,"City of GLENDALE Ward 6,12",460,134,325,1
,City of GREENFIELD Ward 1,287,121,166,0
,City of GREENFIELD Ward 2,227,125,102,0
,City of GREENFIELD Ward 3,199,96,103,0
,City of GREENFIELD Ward 4,172,86,86,0
,City of GREENFIELD Ward 5,287,140,147,0
,City of GREENFIELD Ward 6,328,186,142,0
,City of GREENFIELD Ward 7,419,240,179,0
,City of GREENFIELD Ward 8,338,157,179,2
,City of GREENFIELD Ward 9,396,201,195,0
,City of GREENFIELD Ward 10,355,211,144,0
,City of GREENFIELD Ward 11,556,316,240,0
,City of GREENFIELD Ward 12,443,250,193,0
,City of GREENFIELD Ward 13,193,83,109,1
,City of GREENFIELD Ward 14,237,118,119,0
,City of GREENFIELD Ward 15,224,131,93,0
,City of GREENFIELD Ward 16,100,65,35,0
,City of GREENFIELD Ward 17,191,90,101,0
,City of GREENFIELD Ward 18,253,132,121,0
,City of GREENFIELD Ward 19,462,191,271,0
,City of GREENFIELD Ward 20,452,243,209,0
,City of GREENFIELD Ward 21,192,98,94,0
,City of MILWAUKEE Ward 1,228,85,143,0
,City of MILWAUKEE Ward 2,25,7,18,0
,City of MILWAUKEE Ward 3,274,98,176,0
,City of MILWAUKEE Ward 4,411,71,339,1
,City of MILWAUKEE Ward 5,181,53,126,2
,City of MILWAUKEE Ward 6,418,111,307,0
,City of MILWAUKEE Ward 7,107,45,62,0
,City of MILWAUKEE Ward 8,396,112,283,1
,City of MILWAUKEE Ward 9,175,34,141,0
,City of MILWAUKEE Ward 10,329,121,208,0
,City of MILWAUKEE Ward 11,189,45,144,0
,City of MILWAUKEE Ward 12,119,36,83,0
,City of MILWAUKEE Ward 13,103,32,71,0
,City of MILWAUKEE Ward 14,153,27,126,0
,City of MILWAUKEE Ward 15,227,75,152,0
,City of MILWAUKEE Ward 16,252,49,203,0
,City of MILWAUKEE Ward 17,134,36,98,0
,City of MILWAUKEE Ward 18,194,52,142,0
,City of MILWAUKEE Ward 19,71,26,45,0
,City of MILWAUKEE Ward 20,186,36,150,0
,City of MILWAUKEE Ward 21,115,20,94,1
,City of MILWAUKEE Ward 22,109,19,90,0
,City of MILWAUKEE Ward 23,40,16,24,0
,City of MILWAUKEE Ward 24,12,1,11,0
,City of MILWAUKEE Ward 25,78,15,63,0
,City of MILWAUKEE Ward 26,92,26,64,2
,City of MILWAUKEE Ward 27,89,18,71,0
,City of MILWAUKEE Ward 28,8,2,6,0
,City of MILWAUKEE Ward 29,37,6,31,0
,City of MILWAUKEE Ward 30,105,24,81,0
,City of MILWAUKEE Ward 31,56,19,37,0
,City of MILWAUKEE Ward 32,274,76,195,3
,City of MILWAUKEE Ward 33,639,232,405,2
,City of MILWAUKEE Ward 34,204,77,127,0
,City of MILWAUKEE Ward 35,181,90,91,0
,City of MILWAUKEE Ward 36,112,33,79,0
,City of MILWAUKEE Ward 37,73,21,51,1
,City of MILWAUKEE Ward 38,77,16,61,0
,City of MILWAUKEE Ward 39,120,43,77,0
,City of MILWAUKEE Ward 40,81,15,66,0
,City of MILWAUKEE Ward 41,84,13,71,0
,City of MILWAUKEE Ward 42,136,23,113,0
,City of MILWAUKEE Ward 43,33,5,28,0
,City of MILWAUKEE Ward 44,146,27,119,0
,City of MILWAUKEE Ward 45,106,22,84,0
,City of MILWAUKEE Ward 46,54,12,39,3
,City of MILWAUKEE Ward 47,81,11,70,0
,City of MILWAUKEE Ward 48,82,10,72,0
,City of MILWAUKEE Ward 49,71,16,55,0
,City of MILWAUKEE Ward 50,72,14,57,1
,City of MILWAUKEE Ward 51,64,6,56,2
,City of MILWAUKEE Ward 52,112,23,88,1
,City of MILWAUKEE Ward 53,54,6,48,0
,City of MILWAUKEE Ward 54,83,7,75,1
,City of MILWAUKEE Ward 55,286,81,205,0
,City of MILWAUKEE Ward 56,120,13,107,0
,City of MILWAUKEE Ward 57,111,3,107,1
,City of MILWAUKEE Ward 58,87,3,84,0
,City of MILWAUKEE Ward 59,255,15,240,0
,City of MILWAUKEE Ward 60,115,10,104,1
,City of MILWAUKEE Ward 61,129,7,122,0
,City of MILWAUKEE Ward 62,77,7,70,0
,City of MILWAUKEE Ward 63,73,5,67,1
,City of MILWAUKEE Ward 64,181,21,159,1
,City of MILWAUKEE Ward 65,207,24,182,1
,City of MILWAUKEE Ward 66,75,10,65,0
,City of MILWAUKEE Ward 67,67,10,56,1
,City of MILWAUKEE Ward 68,148,29,119,0
,City of MILWAUKEE Ward 69,99,21,78,0
,City of MILWAUKEE Ward 70,208,21,187,0
,City of MILWAUKEE Ward 71,112,14,96,2
,City of MILWAUKEE Ward 72,174,25,149,0
,City of MILWAUKEE Ward 73,191,41,149,1
,City of MILWAUKEE Ward 74,118,26,92,0
,City of MILWAUKEE Ward 75,181,65,116,0
,City of MILWAUKEE Ward 76,119,24,95,0
,City of MILWAUKEE Ward 77,105,35,70,0
,City of MILWAUKEE Ward 78,204,63,141,0
,City of MILWAUKEE Ward 79,209,72,136,1
,City of MILWAUKEE Ward 80,408,142,266,0
,City of MILWAUKEE Ward 81,164,71,93,0
,City of MILWAUKEE Ward 82,264,105,159,0
,City of MILWAUKEE Ward 83,299,139,160,0
,City of MILWAUKEE Ward 84,207,70,137,0
,City of MILWAUKEE Ward 85,332,104,228,0
,City of MILWAUKEE Ward 86,287,105,182,0
,City of MILWAUKEE Ward 87,172,58,114,0
,City of MILWAUKEE Ward 88,223,62,161,0
,City of MILWAUKEE Ward 89,243,80,163,0
,City of MILWAUKEE Ward 90,240,74,165,1
,City of MILWAUKEE Ward 91,212,37,175,0
,City of MILWAUKEE Ward 92,378,106,272,0
,City of MILWAUKEE Ward 93,277,75,202,0
,City of MILWAUKEE Ward 94,58,9,49,0
,City of MILWAUKEE Ward 95,68,6,62,0
,City of MILWAUKEE Ward 96,259,50,209,0
,City of MILWAUKEE Ward 97,251,65,186,0
,City of MILWAUKEE Ward 98,151,8,143,0
,City of MILWAUKEE Ward 99,235,32,203,0
,City of MILWAUKEE Ward 100,143,10,132,1
,City of MILWAUKEE Ward 101,176,15,161,0
,City of MILWAUKEE Ward 102,236,25,210,1
,City of MILWAUKEE Ward 103,213,20,193,0
,City of MILWAUKEE Ward 104,143,12,131,0
,City of MILWAUKEE Ward 105,37,2,35,0
,City of MILWAUKEE Ward 106,32,3,29,0
,City of MILWAUKEE Ward 107,109,10,99,0
,City of MILWAUKEE Ward 108,90,5,85,0
,City of MILWAUKEE Ward 109,94,5,89,0
,City of MILWAUKEE Ward 110,38,3,35,0
,City of MILWAUKEE Ward 111,43,5,38,0
,City of MILWAUKEE Ward 112,64,5,59,0
,City of MILWAUKEE Ward 113,69,4,65,0
,City of MILWAUKEE Ward 114,80,4,76,0
,City of MILWAUKEE Ward 115,118,6,111,1
,City of MILWAUKEE Ward 116,47,5,42,0
,City of MILWAUKEE Ward 117,61,5,56,0
,City of MILWAUKEE Ward 118,86,9,75,2
,City of MILWAUKEE Ward 119,84,1,83,0
,City of MILWAUKEE Ward 120,49,2,47,0
,City of MILWAUKEE Ward 121,78,2,75,1
,City of MILWAUKEE Ward 122,84,4,80,0
,City of MILWAUKEE Ward 123,233,18,215,0
,City of MILWAUKEE Ward 124,145,21,124,0
,City of MILWAUKEE Ward 125,553,54,499,0
,City of MILWAUKEE Ward 126,421,30,391,0
,City of MILWAUKEE Ward 127,468,54,411,3
,City of MILWAUKEE Ward 128,369,29,338,2
,City of MILWAUKEE Ward 129,343,40,303,0
,City of MILWAUKEE Ward 130,167,31,136,0
,City of MILWAUKEE Ward 131,512,85,427,0
,City of MILWAUKEE Ward 132,821,172,649,0
,City of MILWAUKEE Ward 133,236,23,212,1
,City of MILWAUKEE Ward 134,294,29,265,0
,City of MILWAUKEE Ward 135,340,42,298,0
,City of MILWAUKEE Ward 136,288,19,269,0
,City of MILWAUKEE Ward 137,246,18,228,0
,City of MILWAUKEE Ward 138,803,41,761,1
,City of MILWAUKEE Ward 139,338,22,316,0
,City of MILWAUKEE Ward 140,70,8,62,0
,City of MILWAUKEE Ward 141,107,7,100,0
,City of MILWAUKEE Ward 142,94,7,87,0
,City of MILWAUKEE Ward 143,62,3,59,0
,City of MILWAUKEE Ward 144,51,2,49,0
,City of MILWAUKEE Ward 145,33,5,28,0
,City of MILWAUKEE Ward 146,20,1,19,0
,City of MILWAUKEE Ward 147,67,7,59,1
,City of MILWAUKEE Ward 148,81,1,80,0
,City of MILWAUKEE Ward 149,54,4,50,0
,City of MILWAUKEE Ward 150,82,16,66,0
,City of MILWAUKEE Ward 151,45,3,42,0
,City of MILWAUKEE Ward 152,34,3,31,0
,City of MILWAUKEE Ward 153,121,11,110,0
,City of MILWAUKEE Ward 154,88,6,82,0
,City of MILWAUKEE Ward 155,18,2,16,0
,City of MILWAUKEE Ward 156,92,14,77,1
,City of MILWAUKEE Ward 157,113,16,97,0
,City of MILWAUKEE Ward 158,66,5,61,0
,City of MILWAUKEE Ward 159,79,14,65,0
,City of MILWAUKEE Ward 160,70,3,67,0
,City of MILWAUKEE Ward 161,19,2,17,0
,City of MILWAUKEE Ward 162,32,4,28,0
,City of MILWAUKEE Ward 163,73,7,65,1
,City of MILWAUKEE Ward 164,172,34,138,0
,City of MILWAUKEE Ward 165,140,35,105,0
,City of MILWAUKEE Ward 166,93,18,75,0
,City of MILWAUKEE Ward 167,319,63,256,0
,City of MILWAUKEE Ward 168,657,104,553,0
,City of MILWAUKEE Ward 169,38,2,36,0
,City of MILWAUKEE Ward 170,32,1,31,0
,City of MILWAUKEE Ward 171,9,0,9,0
,City of MILWAUKEE Ward 172,73,7,66,0
,City of MILWAUKEE Ward 173,87,3,84,0
,City of MILWAUKEE Ward 174,146,4,142,0
,City of MILWAUKEE Ward 175,111,13,98,0
,City of MILWAUKEE Ward 176,75,8,67,0
,City of MILWAUKEE Ward 177,554,66,488,0
,City of MILWAUKEE Ward 178,392,57,334,1
,City of MILWAUKEE Ward 179,442,50,389,3
,City of MILWAUKEE Ward 180,345,46,298,1
,City of MILWAUKEE Ward 181,696,146,550,0
,City of MILWAUKEE Ward 182,441,69,371,1
,City of MILWAUKEE Ward 183,529,80,449,0
,City of MILWAUKEE Ward 184,438,84,354,0
,City of MILWAUKEE Ward 185,517,86,431,0
,City of MILWAUKEE Ward 186,558,137,421,0
,City of MILWAUKEE Ward 187,92,15,77,0
,City of MILWAUKEE Ward 188,124,21,103,0
,City of MILWAUKEE Ward 189,96,17,79,0
,City of MILWAUKEE Ward 190,145,23,122,0
,City of MILWAUKEE Ward 191,70,21,49,0
,City of MILWAUKEE Ward 192,44,8,36,0
,City of MILWAUKEE Ward 193,104,8,96,0
,City of MILWAUKEE Ward 194,75,9,65,1
,City of MILWAUKEE Ward 195,47,10,37,0
,City of MILWAUKEE Ward 196,70,14,56,0
,City of MILWAUKEE Ward 197,49,4,44,1
,City of MILWAUKEE Ward 198,100,11,89,0
,City of MILWAUKEE Ward 199,153,17,136,0
,City of MILWAUKEE Ward 200,65,11,54,0
,City of MILWAUKEE Ward 201,59,7,51,1
,City of MILWAUKEE Ward 202,216,49,167,0
,City of MILWAUKEE Ward 203,405,68,336,1
,City of MILWAUKEE Ward 204,329,67,262,0
,City of MILWAUKEE Ward 205,301,71,229,1
,City of MILWAUKEE Ward 206,282,57,225,0
,City of MILWAUKEE Ward 207,235,96,139,0
,City of MILWAUKEE Ward 208,249,84,164,1
,City of MILWAUKEE Ward 209,265,118,147,0
,City of MILWAUKEE Ward 210,202,92,109,1
,City of MILWAUKEE Ward 211,172,71,101,0
,City of MILWAUKEE Ward 212,198,93,105,0
,City of MILWAUKEE Ward 213,218,86,132,0
,City of MILWAUKEE Ward 214,127,31,96,0
,City of MILWAUKEE Ward 215,47,6,40,1
,City of MILWAUKEE Ward 216,40,16,24,0
,City of MILWAUKEE Ward 217,73,18,55,0
,City of MILWAUKEE Ward 218,119,33,86,0
,City of MILWAUKEE Ward 219,54,19,35,0
,City of MILWAUKEE Ward 220,92,23,69,0
,City of MILWAUKEE Ward 221,191,50,141,0
